Age,Experience,Income,Family,CCAvg,Mortgage,Securities Account,CD Account,Online,CreditCard,Edu_2,Edu_3
47,22,35,2,1.3,0,0,0,1,0,0,0
38,14,39,1,2.0,0,0,0,1,0,1,0
59,35,131,1,3.8,0,0,0,1,1,0,0
29,3,65,4,1.8,244,0,0,0,0,1,0
39,13,21,3,0.2,0,0,0,1,0,1,0
26,0,19,1,0.1,121,0,0,1,0,1,0
39,15,25,1,1.4,0,0,0,0,0,0,1
40,16,83,4,0.2,0,0,0,0,0,0,1
46,20,72,2,0.8,0,0,0,1,1,0,1
64,38,79,2,2.8,179,0,0,0,0,0,0
32,7,64,2,0.1,0,0,0,1,1,0,0
57,33,45,4,1.5,204,0,0,1,0,0,0
66,41,145,1,2.5,0,0,0,1,0,0,0
32,6,99,2,1.5,0,0,0,0,1,0,1
56,31,80,4,1.3,0,0,0,1,0,0,1
44,20,101,3,4.4,82,0,0,0,0,1,0
52,28,18,1,0.3,120,0,0,1,0,0,0
54,30,64,1,1.8,227,0,0,0,1,0,1
42,17,98,2,0.4,275,0,0,1,0,0,0
53,28,74,3,2.0,0,1,0,0,0,1,0
31,5,49,4,1.8,0,0,0,1,1,0,1
46,20,74,3,0.7,0,0,0,1,1,1,0
43,17,44,1,0.2,0,1,1,1,0,0,0
59,33,42,1,0.8,0,0,0,1,0,1,0
56,30,75,1,1.9,125,0,0,1,0,1,0
33,7,21,1,0.6,0,1,0,0,0,0,1
57,33,24,1,0.1,0,0,0,0,0,1,0
41,15,75,1,1.5,0,0,0,1,0,0,1
56,31,11,2,0.2,90,0,0,0,0,0,1
24,-3,41,4,1.0,0,0,0,1,0,0,1
30,5,41,4,1.7,0,0,0,1,0,1,0
27,3,104,2,2.5,184,1,0,1,0,0,0
47,20,38,3,2.5,0,0,0,0,0,1,0
46,22,52,2,2.1,221,0,0,0,0,0,1
35,9,28,1,0.6,0,0,0,0,1,0,1
58,32,42,3,1.4,158,0,0,0,1,0,1
46,20,118,1,5.7,0,0,1,1,1,0,0
47,22,53,4,1.9,98,1,1,0,1,0,1
29,4,110,4,2.5,0,0,0,0,0,0,1
41,15,54,3,2.1,0,0,0,1,0,0,0
32,8,43,1,2.1,0,0,0,0,1,0,1
39,13,52,1,2.0,0,0,0,0,1,0,0
57,33,95,2,1.6,0,0,0,0,0,0,0
51,26,52,4,1.8,0,0,0,1,0,0,1
44,19,62,3,0.8,0,0,0,0,1,0,1
54,28,64,2,0.8,0,1,0,1,0,0,1
28,3,161,4,1.7,422,0,1,1,1,0,1
57,32,43,2,2.1,166,0,0,1,0,0,1
39,13,69,3,0.1,247,0,0,0,0,0,0
59,35,174,1,4.7,0,0,0,1,1,0,0
59,35,91,2,1.6,0,1,0,0,1,0,0
38,13,169,1,6.8,0,0,1,1,1,0,1
27,1,83,4,2.1,0,0,0,1,1,0,1
28,2,63,2,1.6,0,0,0,1,0,0,1
34,9,31,4,1.1,85,1,1,1,1,0,1
39,13,32,2,0.8,0,0,0,1,0,0,1
44,18,75,1,0.7,0,0,0,0,1,0,1
48,22,163,1,2.4,396,0,0,1,0,0,0
